graph_id,order,node_id
Town05_Highway2,0,v_0_0
Town05_Highway2,1,v_1_2
Town05_Highway2,2,v_2_2
Town05_Highway2,3,v_3_2
Town05_Highway2,4,v_4_2
Town05_Highway2,5,v_5_2
Town05_Highway2,6,v_6_2
Town05_Highway2,7,v_7_2
Town05_Highway2,8,v_8_2
Town05_Highway2,9,v_9_2
Town05_Highway2,10,v_10_2
Town05_Highway2,11,v_11_2
Town05_Highway2,12,v_12_2
Town05_Highway2,13,v_13_2
Town05_Highway2,14,v_14_2
Town05_Highway2,15,v_15_2
Town05_Highway2,16,v_16_2
Town05_Highway2,17,v_17_2
Town05_Highway2,18,v_18_2
Town05_Highway2,19,v_19_2
Town05_Highway2,20,v_20_2
Town05_Highway2,21,v_21_2
Town05_Highway2,22,v_22_2
Town05_Highway2,23,v_23_2
Town05_Highway2,24,v_24_1
Town05_Highway2,25,v_25_1
Town05_Highway2,26,v_26_1
